symbol,scraped_price,predicted_price_dnn,order_type,pos_procendage,quantity
CERE,34.08,34.264973,BUY,0.8105737249387515,1.0
RUN,15.72,15.734371,BUY,0.3738914012921706,3.0
GDS,10.83,10.975001,BUY,0.25758548829479694,4.0
ADYEY,16.47,16.283554,SELL,0.3917297315064917,3.0
RIOT,12.02,11.57751,SELL,0.2858889722348531,3.0
LCID,7.59,7.608123,BUY,0.18052390176892968,6.0
DKNG,26.18,26.316936,BUY,0.6226766466812358,2.0
CHPT,8.29,8.44706,BUY,0.1971730099689627,5.0
PLUG,8.76,8.685873,SELL,0.20835169690327063,5.0
CRCT,9.57,9.283812,SELL,0.22761709353473744,4.0
RIVN,14.24,14.315742,BUY,0.33869042966924356,3.0
BPIRF,2.9,3.0570502,BUY,0.06897487682870831,14.0
GTLB,34.72,34.567356,SELL,0.8257957667216389,1.0
NBGIF,6.57,6.4715366,SELL,0.15626377267745298,6.0
CSIQ,42.39,42.242928,SELL,1.0082224237134294,1.0
GOL,3.26,3.1783652,SELL,0.07753727533158244,13.0
FLNC,22.96,23.173752,BUY,0.5460907489610838,2.0
AI,27.1,26.422195,SELL,0.6445583317441363,2.0
STGW,6.2,6.0828586,SELL,0.14746352977172122,7.0
COIN,60.1,60.13821,BUY,1.4294448611742654,1.0
ALBKY,0.3245,0.27199808,SELL,0.007718050872729604,130.0
MTCH,34.13,34.09581,SELL,0.8117629469530396,1.0
CCJ,28.48,28.242367,SELL,0.6773808593384871,1.0
GME,23.67,23.556559,SELL,0.5629777015639744,2.0
EGFEY,0.811,0.823378,BUY,0.019289181071752568,52.0
TWLO,57.11,56.878857,SELL,1.3583293847198386,1.0
EXPI,15.44,14.915985,SELL,0.36723175801215735,3.0
SPT,46.14,46.20932,BUY,1.097414074785035,1.0
VSAT,44.16,44.015274,SELL,1.0503208830192272,1.0
SM,28.3,27.778318,SELL,0.6730996600870501,1.0
BMBL,17.13,17.198875,BUY,0.4074274620950943,2.0
PROK,9.99,10.052138,BUY,0.23760655845475726,4.0
DLO,14.77,14.776762,BUY,0.35129618302069715,3.0
DV,31.84,31.670374,SELL,0.7572965786986458,1.0
CRSP,65.69,65.999916,BUY,1.562399882371672,1.0
ZION,28.24,27.168451,SELL,0.6716725936699044,1.0
BHC,8.77,7.673424,SELL,0.20858954130612825,5.0
CVAC,9.79,9.627119,SELL,0.23284967039760493,4.0
FSR,6.52,6.606225,BUY,0.1550745506631649,6.0
PR,10.06,10.056064,SELL,0.23927146927476056,4.0
TWKS,8.24,8.274204,BUY,0.19598378795467467,5.0
VRT,16.76,16.695057,SELL,0.3986272191893626,3.0
UPST,28.54,26.83186,SELL,0.6788079257556329,1.0
HUNGF,0.6379,0.7159557,BUY,0.015172094458287252,66.0
XPEV,9.44,9.557247,BUY,0.22452511629758845,4.0
FTCH,5.59,5.874745,BUY,0.1329550211974067,8.0
